rating,box_office,genre,director
R,5689784,Comedy,Harald Zwart
PG-13,98000000,Action and Adventure|Comedy|Science Fiction and Fantasy,Michel Gondry
PG,41800000,Comedy,Bobby Farrelly|Peter Farrelly
R,2927972,Comedy|Documentary|Television,Ricki Stern|Anne Sundberg
PG-13,36873198,Comedy|Drama,Ridley Scott
G,2782548,Animation|Kids and Family,Robert Ramirez
PG,72700000,Comedy|Drama,Cameron Crowe
NR,581813,Drama|Romance,Vikramaditya Motwane
NR,1320005,Action and Adventure|Art House and International,Ciro Guerra
PG-13,25335935,Action and Adventure|Science Fiction and Fantasy,Joss Whedon
NR,1416189,Comedy|Drama,Gauri Shinde
R,59371,Horror|Mystery and Suspense,Sebastian Gutierrez
